keyword,category
united states,country
usa,country
u.s.,country
america,country
american,country
washington,country
canada,country
canadian,country
ottawa,country
trudeau,country
mexico,country
mexican,country
amlo,country
sheinbaum,country
trade,relations
tariff,relations
nafta,relations
usmca,relations
border,relations
immigration,relations
diplomacy,relations
treaty,relations
agreement,relations
relations,relations
summit,relations
sanction,relations
embargo,relations
cooperation,relations
alliance,relations
tension,relations
bilateral,relations
trilateral,relations
north america,relations
